StartTime: 2023-09-28 14:37:25.875
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m)
0x50	 14:37:25.875	-9,2969	4,8682	1,2793	167,8467	42,7246	432,1289	73,3447	63,4406	-85,8472	36,10	3914	-4417	-1480	101624	-24,86
0x50	 14:37:25.969	-9,1260	4,5459	1,9336	100,0977	193,4814	308,2275	77,7997	60,5621	-81,7328	36,11	3499	-4458	-1358	101624	-24,86
0x50	 14:37:26.062	-8,6865	4,6826	1,5088	-39,0625	274,0479	151,9775	81,9415	58,8647	-76,3385	36,09	3243	-4411	-1293	101625	-24,94
0x50	 14:37:26.156	-8,3643	6,1084	2,3779	-34,1797	179,4434	-264,8926	84,8474	60,2271	-73,3063	36,14	3202	-4227	-1228	101625	-24,94
0x50	 14:37:26.265	-7,9004	5,8838	2,3145	-272,8271	150,7568	-424,8047	83,9465	64,0228	-72,6526	36,09	3362	-3835	-1267	101625	-24,94
0x50	 14:37:26.359	-5,1855	6,6504	2,0117	-81,1768	110,4736	-40,2832	84,0619	65,7037	-72,2021	36,10	3452	-3445	-1289	101624	-24,86
0x50	 14:37:26.468	-1,8896	4,6924	1,2109	-721,4355	180,0537	616,4551	85,5176	61,0510	-61,8970	36,11	3256	-3180	-1364	101625	-24,94
0x50	 14:37:26.562	-12,3877	5,4102	-5,1465	-720,2148	-923,4619	496,2158	74,6136	53,0914	-59,9139	36,09	2712	-2786	-1742	101627	-25,11
0x50	 14:37:26.656	-18,6377	0,2100	2,8174	1212,1582	-814,8193	533,4473	71,6034	45,2692	-75,2509	36,09	1800	-2763	-1875	101627	-25,11
0x50	 14:37:26.765	-11,3232	-1,0352	-0,1416	606,0791	-530,3955	-1200,5615	72,7515	50,6580	-79,1510	36,09	1475	-2802	-1687	101630	-25,36
0x50	 14:37:26.859	-109,4775	22,2168	-22,3145	-906,9824	885,0098	-1798,7061	60,1337	65,5939	-96,2292	36,08	1873	-2393	-1562	101630	-25,36
0x50	 14:37:26.968	-11,4551	4,6533	1,7822	-1163,9404	178,2227	-112,3047	59,5734	69,1864	-93,3069	36,11	2179	-2040	-1548	101633	-25,61
