StartTime: 2023-09-28 11:49:33.289
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m)
0x50	 11:49:33.289	-10,5908	1,6504	-1,8018	4,2725	-0,6104	3,6621	135,6482	76,8823	-92,4719	34,78	4142	-2276	2488	101614	-24,03
0x50	 11:49:33.366	-10,5957	1,6797	-1,7822	-3,0518	0,0000	4,8828	135,6097	76,8439	-92,5653	34,78	4125	-2293	2506	101615	-24,11
0x50	 11:49:33.466	-10,5566	1,6797	-1,7578	1,8311	1,8311	4,2725	135,6042	76,8054	-92,5928	34,78	4134	-2276	2503	101614	-24,03
0x50	 11:49:33.566	-10,5420	1,6797	-1,7578	1,8311	-3,0518	0,0000	135,4669	76,8109	-92,7026	34,79	4135	-2293	2526	101614	-24,03
0x50	 11:49:33.666	-10,5957	1,6455	-1,8115	0,6104	0,0000	1,8311	135,4230	76,8109	-92,6807	34,79	4142	-2284	2493	101614	-24,03
0x50	 11:49:33.766	-10,5908	1,7188	-1,7871	-20,7520	-8,5449	3,0518	135,4779	76,7944	-92,6532	34,80	4155	-2287	2505	101614	-24,03
0x50	 11:49:33.866	-10,5469	1,6943	-1,7578	-1,8311	-3,6621	0,0000	135,3406	76,8219	-92,7631	34,81	4143	-2295	2507	101614	-24,03
0x50	 11:49:33.966	-10,5762	1,6553	-1,7627	9,1553	0,0000	-2,4414	135,3516	76,8384	-92,7301	34,81	4132	-2288	2494	101614	-24,03
0x50	 11:49:34.066	-10,5664	1,6748	-1,7773	7,3242	-1,8311	-4,2725	135,5328	76,8658	-92,5543	34,81	4142	-2288	2500	101614	-24,03
0x50	 11:49:34.166	-10,5762	1,6748	-1,8018	3,0518	-4,2725	0,6104	135,5933	76,8988	-92,5214	34,77	4133	-2283	2492	101614	-24,03
0x50	 11:49:34.266	-10,5957	1,6504	-1,7969	-1,2207	-4,8828	0,0000	135,6427	76,8988	-92,5269	34,78	4137	-2273	2500	101614	-24,03
0x50	 11:49:34.366	-10,5615	1,6553	-1,7676	0,0000	-1,2207	-3,6621	135,6317	76,9482	-92,5104	34,78	4136	-2283	2494	101614	-24,03
0x50	 11:49:34.465	-10,5664	1,6699	-1,7871	13,4277	1,8311	-1,2207	135,7471	76,9427	-92,3840	34,79	4140	-2262	2506	101615	-24,11
0x50	 11:49:34.565	-10,5762	1,6650	-1,8359	-6,7139	-3,0518	1,8311	135,6647	76,9427	-92,4225	34,81	4138	-2282	2487	101614	-24,03
0x50	 11:49:34.665	-10,5811	1,6553	-1,8066	-9,1553	7,3242	8,5449	135,6976	76,8713	-92,3566	34,81	4139	-2284	2507	101615	-24,11
0x50	 11:49:34.765	-10,5908	1,6357	-1,7529	2,4414	6,1035	3,6621	135,8405	76,7670	-92,2192	34,77	4131	-2284	2521	101615	-24,11
0x50	 11:49:34.865	-10,5762	1,6455	-1,7627	6,7139	-1,8311	-1,8311	135,8844	76,7615	-92,1533	34,81	4131	-2287	2499	101614	-24,03
0x50	 11:49:34.965	-10,5713	1,6895	-1,7773	3,0518	-7,9346	0,0000	135,7910	76,8164	-92,2687	34,78	4143	-2278	2506	101614	-24,03
0x50	 11:49:35.065	-10,6152	1,6895	-1,8359	-3,0518	-15,8691	2,4414	135,4395	76,8933	-92,6422	34,83	4132	-2279	2496	101615	-24,11
0x50	 11:49:35.165	-10,5811	1,6748	-1,8213	-1,2207	2,4414	2,4414	135,2911	76,9043	-92,7740	34,79	4132	-2280	2506	101614	-24,03
0x50	 11:49:35.265	-10,5420	1,6895	-1,7627	3,0518	7,9346	0,0000	135,6372	76,8274	-92,4500	34,79	4125	-2283	2501	101614	-24,03
0x50	 11:49:35.365	-10,5615	1,6357	-1,7773	6,7139	3,0518	-4,8828	135,7745	76,8164	-92,2192	34,77	4128	-2282	2527	101614	-24,03
0x50	 11:49:35.465	-10,5908	1,6406	-1,7969	-1,8311	-0,6104	-1,2207	136,0052	76,8274	-91,9720	34,76	4128	-2289	2515	101614	-24,03
0x50	 11:49:35.570	-10,5762	1,6602	-1,7773	-7,3242	-7,3242	1,8311	135,9778	76,8494	-92,0105	34,78	4124	-2274	2518	101614	-24,03
0x50	 11:49:35.665	-10,5811	1,7041	-1,7920	-6,1035	-10,9863	4,2725	135,7141	76,8823	-92,2797	34,80	4147	-2275	2489	101614	-24,03
0x50	 11:49:35.765	-10,5615	1,6650	-1,7822	3,6621	2,4414	7,9346	135,3900	76,8713	-92,5763	34,79	4137	-2285	2505	101614	-24,03
0x50	 11:49:35.865	-10,5908	1,6650	-1,7871	-1,8311	-4,2725	2,4414	135,2692	76,8164	-92,6917	34,80	4117	-2294	2499	101614	-24,03
0x50	 11:49:35.965	-10,5762	1,6504	-1,7578	-1,2207	2,4414	1,2207	135,2637	76,8109	-92,6587	34,79	4133	-2299	2521	101614	-24,03
0x50	 11:49:36.065	-10,5615	1,7383	-1,7432	13,4277	4,2725	2,4414	135,5054	76,7670	-92,5159	34,81	4121	-2288	2498	101614	-24,03
0x50	 11:49:36.174	-10,5615	1,6797	-1,7822	3,0518	-6,1035	4,8828	135,2142	76,7670	-92,7795	34,81	4130	-2303	2510	101614	-24,03
0x50	 11:49:36.265	-10,5811	1,6650	-1,7920	0,0000	-0,6104	3,6621	135,0659	76,7395	-92,9169	34,82	4131	-2293	2492	101614	-24,03
0x50	 11:49:36.378	-10,5566	1,6602	-1,7871	-10,9863	-6,7139	0,0000	134,9780	76,7615	-92,9608	34,81	4120	-2293	2507	101614	-24,03
0x50	 11:49:36.465	-10,5908	1,6992	-1,7920	-11,5967	-6,7139	-7,3242	135,0549	76,8329	-92,8345	34,81	4138	-2291	2512	101614	-24,03
0x50	 11:49:36.565	-10,5566	1,7578	-1,7529	0,0000	4,8828	-3,0518	135,3516	76,8549	-92,4994	34,81	4133	-2293	2501	101614	-24,03
0x50	 11:49:36.664	-10,7324	1,7969	-1,7480	-7,9346	-0,6104	-0,6104	135,2692	76,8439	-92,5323	34,81	4135	-2303	2506	101614	-24,03
0x50	 11:49:36.765	-10,5566	1,7480	-1,7773	-27,4658	-11,5967	25,0244	134,4067	76,7889	-93,2025	34,77	4132	-2308	2499	101614	-24,03
0x50	 11:49:36.864	-10,4688	1,7090	-1,7432	-5,4932	6,1035	22,5830	133,6652	76,5967	-93,9386	34,83	4113	-2322	2480	101614	-24,03
0x50	 11:49:36.982	-10,5225	1,5967	-1,7725	0,0000	6,1035	0,6104	133,3301	76,5033	-94,0759	34,81	4133	-2343	2481	101614	-24,03
0x50	 11:49:37.064	-10,5713	1,6602	-1,8311	-15,2588	1,8311	-15,2588	133,7970	76,5417	-93,4167	34,81	4132	-2343	2493	101614	-24,03
0x50	 11:49:37.187	-10,5566	1,7920	-1,7432	-25,0244	3,6621	-15,8691	134,5496	76,6516	-92,5378	34,81	4141	-2339	2481	101614	-24,03
0x50	 11:49:37.264	-10,6250	1,8408	-1,7334	6,1035	6,7139	-5,4932	134,9835	76,6736	-92,0270	34,81	4139	-2328	2476	101614	-24,03
0x50	 11:49:37.387	-10,5957	1,7725	-1,7822	-3,6621	-0,6104	11,5967	134,6814	76,6187	-92,2357	34,84	4142	-2326	2459	101614	-24,03
0x50	 11:49:37.464	-10,5908	1,7041	-1,7871	-7,9346	-11,5967	18,9209	133,9453	76,5253	-92,9608	34,79	4126	-2340	2466	101614	-24,03
0x50	 11:49:37.564	-10,5566	1,6846	-1,7432	4,2725	-1,8311	9,7656	133,5004	76,4594	-93,4717	34,83	4110	-2350	2481	101614	-24,03
0x50	 11:49:37.664	-10,5322	1,6895	-1,7676	23,8037	0,0000	-9,1553	133,6981	76,4813	-93,3453	34,83	4117	-2337	2459	101614	-24,03
0x50	 11:49:37.764	-10,5371	1,7480	-1,8066	14,0381	-2,4414	-10,9863	134,0717	76,5967	-93,0048	34,82	4123	-2332	2459	101614	-24,03
0x50	 11:49:37.864	-10,6055	1,7773	-1,7871	3,0518	0,0000	0,0000	134,4177	76,6241	-92,7631	34,78	4128	-2325	2472	101614	-24,03
0x50	 11:49:37.964	-10,5664	1,7578	-1,7578	-0,6104	-5,4932	5,4932	134,3903	76,5967	-92,8784	34,81	4125	-2333	2506	101614	-24,03
0x50	 11:49:38.064	-10,5713	1,7090	-1,7969	7,3242	-7,3242	3,0518	134,0936	76,6022	-93,2465	34,81	4142	-2327	2476	101614	-24,03
0x50	 11:49:38.164	-10,5322	1,6992	-1,7920	6,7139	-0,6104	-2,4414	134,1431	76,6241	-93,2520	34,83	4151	-2331	2481	101614	-24,03
0x50	 11:49:38.264	-10,5566	1,7139	-1,7725	10,9863	0,6104	-7,9346	134,3463	76,6791	-93,0927	34,83	4140	-2321	2474	101614	-24,03
0x50	 11:49:38.364	-10,5957	1,7139	-1,7920	15,2588	0,6104	-5,4932	134,7198	76,7120	-92,7466	34,81	4129	-2322	2490	101614	-24,03
0x50	 11:49:38.464	-10,5957	1,7432	-1,7920	-6,1035	-6,7139	0,0000	134,9121	76,7340	-92,6587	34,83	4117	-2315	2491	101614	-24,03
0x50	 11:49:38.564	-10,5713	1,7529	-1,7822	2,4414	-3,0518	3,6621	134,8846	76,7340	-92,7795	34,79	4137	-2311	2495	101614	-24,03
0x50	 11:49:38.664	-10,5664	1,7432	-1,7676	12,2070	1,8311	2,4414	134,8627	76,6956	-92,8729	34,81	4129	-2312	2489	101614	-24,03
0x50	 11:49:38.764	-10,5664	1,6846	-1,7969	4,8828	-0,6104	0,6104	134,8792	76,6791	-92,8784	34,80	4125	-2306	2516	101614	-24,03
0x50	 11:49:38.863	-10,5518	1,7090	-1,8115	-2,4414	-0,6104	0,0000	134,9615	76,6736	-92,8125	34,84	4129	-2310	2494	101614	-24,03
