StartTime: 2023-09-28 14:35:10.805
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m)
0x50	 14:35:10.805	-8,9355	5,9277	0,9766	-90,3320	308,8379	26,8555	77,5580	59,8975	-81,5570	35,65	3490	-5101	-1617	101617	-24,28
0x50	 14:35:10.915	-10,0000	5,3418	0,6836	-294,1895	321,0449	-39,0625	80,8978	60,5237	-74,5367	35,64	3561	-5058	-1557	101617	-24,28
0x50	 14:35:11.008	-10,3613	5,0781	0,8838	-82,3975	212,4023	12,8174	83,7103	60,8917	-69,1699	35,66	3657	-5006	-1582	101617	-24,28
0x50	 14:35:11.118	-9,7949	5,2686	0,8838	0,6104	-1,2207	-50,6592	84,9738	61,4246	-67,5439	35,67	3762	-4972	-1540	101617	-24,28
0x50	 14:35:11.212	-10,0488	5,6445	0,5225	249,0234	-244,7510	-103,1494	83,3533	62,0508	-71,0706	35,67	3817	-4967	-1519	101617	-24,28
0x50	 14:35:11.305	-9,3408	5,7910	1,2744	91,5527	-126,9531	-34,7900	81,5350	62,3804	-75,9650	35,64	3840	-5007	-1466	101617	-24,28
0x50	 14:35:11.415	-9,5166	5,4248	1,3135	-96,4355	12,8174	-43,3350	79,7058	62,5012	-77,2943	35,70	3849	-4964	-1495	101617	-24,28
0x50	 14:35:11.508	-9,6973	5,2197	1,8066	160,5225	42,7246	97,6563	80,7880	61,8695	-76,4868	35,64	3817	-4968	-1486	101617	-24,28
0x50	 14:35:11.618	-9,0430	5,6201	1,4697	-175,1709	112,9150	197,7539	82,4634	60,2985	-75,2728	35,69	3697	-5069	-1373	101617	-24,28
0x50	 14:35:11.727	-11,0498	6,0059	-0,8398	-106,2012	-358,2764	-223,3887	78,7555	60,1776	-77,3053	35,67	3614	-5029	-1494	101617	-24,28
0x50	 14:35:11.805	-8,5254	5,0439	1,0840	363,1592	-407,1045	-311,2793	72,8668	61,8530	-86,9843	35,67	3651	-4902	-1602	101617	-24,28
0x50	 14:35:11.914	-10,4785	4,6045	0,0195	-53,7109	-185,5469	-189,8193	67,7582	63,3252	-92,9718	35,67	3724	-4746	-1673	101617	-24,28
0x50	 14:35:12.008	-10,3711	4,3604	0,8643	409,5459	-40,2832	-51,8799	67,5879	64,0942	-94,9438	35,66	3745	-4646	-1658	101617	-24,28
0x50	 14:35:12.133	-11,7334	5,9766	0,8301	150,1465	54,9316	-26,2451	72,3450	64,5227	-93,1696	35,67	3709	-4664	-1410	101617	-24,28
0x50	 14:35:12.211	-10,3223	6,0059	2,1533	444,3359	-125,7324	-12,2070	74,9103	64,4293	-93,4058	35,67	3671	-4629	-1219	101616	-24,19
0x50	 14:35:12.305	-7,9102	4,7021	2,0410	406,4941	-156,8604	154,4189	75,7343	63,2318	-96,5424	35,66	3581	-4633	-1053	101616	-24,19
0x50	 14:35:12.414	-9,3701	5,3516	1,8213	169,0674	-87,2803	74,4629	76,3605	61,4905	-99,0198	35,67	3405	-4674	-911	101617	-24,28
0x50	 14:35:12.508	-9,0479	5,4785	2,4902	-123,2910	98,2666	-34,1797	76,6681	61,0455	-99,8547	35,68	3282	-4621	-851	101617	-24,28
0x50	 14:35:12.617	-9,2236	4,6826	1,9873	58,5938	119,6289	-34,7900	76,7230	61,6278	-98,6243	35,66	3273	-4509	-890	101617	-24,28
0x50	 14:35:12.711	-8,8184	5,6689	2,8223	76,9043	244,7510	-73,8525	79,9585	62,4408	-96,2567	35,66	3282	-4415	-792	101617	-24,28
0x50	 14:35:12.805	-8,9990	6,0059	2,1973	-418,0908	349,1211	12,2070	82,8864	62,8418	-90,9064	35,69	3300	-4296	-756	101617	-24,28
0x50	 14:35:12.914	-11,8604	7,2314	1,4404	-302,1240	-92,7734	-15,2588	80,8374	62,3584	-91,2250	35,65	3292	-4216	-833	101617	-24,28
0x50	 14:35:13.008	-10,9668	3,5791	0,9961	-443,1152	-128,1738	210,5713	73,6743	61,0730	-93,5376	35,66	3219	-4060	-1237	101616	-24,19
0x50	 14:35:13.117	-9,7852	4,7607	-0,4004	-275,2686	-167,2363	291,7480	70,3894	58,2330	-93,4662	35,67	3034	-4007	-1583	101616	-24,19
0x50	 14:35:13.211	-9,4434	4,8193	-0,2344	157,4707	-237,4268	90,9424	68,6371	56,3104	-94,6472	35,65	2854	-3978	-1813	101617	-24,28
0x50	 14:35:13.305	-9,8828	4,4385	0,5713	-173,9502	81,1768	16,4795	68,3130	56,4148	-93,4991	35,68	2787	-3932	-1906	101616	-24,19
0x50	 14:35:13.411	-9,9805	5,1318	0,6396	-343,6279	314,9414	-70,1904	69,4336	58,1232	-87,7588	35,65	2861	-3756	-2002	101616	-24,19
0x50	 14:35:13.505	-9,4580	4,8975	1,3965	-345,4590	344,2383	-49,4385	70,8838	60,3809	-79,7717	35,69	3060	-3488	-2069	101617	-24,28
0x50	 14:35:13.614	-10,2051	6,6406	1,9727	-274,6582	280,7617	-56,7627	74,3610	61,4246	-71,2079	35,69	3240	-3263	-2040	101617	-24,28
0x50	 14:35:13.708	-9,1309	6,8750	2,5928	-474,8535	142,2119	55,5420	73,5150	62,0508	-67,5824	35,67	3424	-3035	-2083	101617	-24,28
0x50	 14:35:13.817	-9,7803	5,1807	1,5234	-42,1143	-108,6426	224,6094	70,9882	60,0293	-63,1439	35,64	3477	-2815	-2226	101616	-24,19
0x50	 14:35:13.911	-9,3164	6,3623	1,9043	-468,1396	106,2012	198,9746	70,0214	57,6178	-61,3531	35,67	3456	-2787	-2261	101617	-24,28
0x50	 14:35:14.005	-8,7500	6,0645	0,5811	-1069,9463	490,7227	162,9639	67,7692	57,0081	-52,0313	35,68	3593	-2552	-2367	101617	-24,28
0x50	 14:35:14.114	-9,1309	5,8105	0,4443	-1126,0986	587,1582	90,9424	65,8685	58,1177	-39,3311	35,66	3882	-2090	-2374	101617	-24,28
0x50	 14:35:14.208	-9,7998	5,6885	0,3320	-1402,5879	690,3076	88,5010	64,7424	60,3149	-24,3402	35,67	4248	-1590	-2201	101617	-24,28
0x50	 14:35:14.317	-9,8389	4,5068	-0,1318	-1354,3701	580,4443	205,0781	64,0173	61,9080	-7,9816	35,70	4540	-1158	-1967	101617	-24,28
0x50	 14:35:14.411	-10,1318	5,4688	-1,1914	-927,1240	256,9580	50,0488	63,6438	62,3969	5,1416	35,69	4687	-848	-1734	101617	-24,28
0x50	 14:35:14.505	-10,1416	5,6104	-0,4199	-614,6240	62,2559	-217,8955	59,1779	64,1382	8,1189	35,68	4695	-479	-1649	101617	-24,28
0x50	 14:35:14.614	-10,4004	4,5166	-0,2686	-1130,3711	264,8926	-3,0518	53,0640	66,6266	11,9696	35,71	4669	44	-1538	101617	-24,28
